name,min_players,max_players,min_playtime,max_playtime,min_age,complexity,rating,best_players,tags
A Game of Thrones: The Board Game (Second Edition) – A Dance with Dragons,6,6,180,180,14,3.3676,7.87633,6,strategy
A Game of Thrones: The Board Game (Second Edition) – A Feast for Crows,4,4,120,120,14,3.3956,7.87576,4,strategy
Anomia: Party Edition,3,6,30,30,10,1.0208,7.10078,5–6,party
Arctic Scavengers: Recon,1,5,30,60,13,2.2857,7.13192,3–4,
Guildhall,2,4,30,45,10,2.0664,6.8836,2,"strategy, family"
Maximum Throwdown: Overload,2,6,30,30,0,1.5,4.69583,,
Rent a Hero,3,5,20,30,8,1.4648,6.29754,3–4,family
Trains,2,4,45,45,12,2.3791,7.12712,3,strategy
BANG! The Dice Game,3,8,15,15,8,1.2808,6.89019,6–7,party
Betrayal at House on the Hill,3,6,60,60,12,2.3969,7.0215,5–6,thematic
Call to Adventure: The Name of the Wind,2,4,30,60,13,2.4286,7.15428,2,
Call to Adventure: The Stormlight Archive,1,4,30,60,13,1.9474,6.99692,3,thematic
Caverna: The Cave Farmers,1,7,30,210,12,3.7773,7.94099,4,strategy
Century: A New World,2,4,30,45,8,2.1188,7.30734,3,"strategy, family"
Century: Eastern Wonders,2,4,30,45,8,2.1135,7.11508,4,family
Chess,2,2,0,0,6,3.6547,7.21587,2,abstracts
Checkers,2,2,30,30,6,1.7134,4.92763,2,abstracts
Deception: Murder in Hong Kong,4,12,20,20,14,1.5796,7.43977,6–8,party
Die Hard: The Nakatomi Heist Board Game,2,4,60,90,15,2.25,6.5101,4,
Doomtown: Reloaded,2,4,30,30,12,3.6029,7.10518,2,cgs
Five Tribes: The Djinns of Naqala,2,4,40,80,13,2.8448,7.77361,2,strategy
Gravwell: Escape from the 9th Dimension,1,4,20,45,10,1.719,6.86356,3–4,family
Last Night on Earth: Growing Hunger,2,6,60,90,12,2.5971,7.59953,5,thematic
Legend of the Five Rings: The Card Game,2,2,45,90,14,4,7.3527,2,cgs
Legendary Encounters: A Firefly Deck Building Game,1,5,45,90,14,2.5676,7.0891,3,thematic
"Machi Koro: Bright Lights, Big City",2,5,30,30,10,1.8571,6.63507,3–4,family
Mille Bornes,2,6,45,45,8,1.25,5.70712,4,family
Pandemic: Rapid Response,2,4,20,20,8,2.1154,6.57293,2,family
Pandemic: The Cure,2,5,30,30,8,2.0599,7.24232,3–4,"strategy, family"
Potion Explosion,2,4,30,45,8,1.7769,7.12563,3,family
Dark Red Flags: A Filthy Expansion to Red Flags,3,10,0,0,0,1,6.21904,5–7,
"Sherlock Holmes, Consulting Detective ー Baker Street 221B",2,5,30,40,8,1.8,6.5,2–3,family
T.I.M.E Stories,2,4,90,90,12,2.5879,7.37449,4,thematic
T.I.M.E Stories: The Marcy Case,2,4,60,90,12,2.6598,7.49868,4,thematic
Ticket to Ride: Europe,2,5,30,60,8,1.9188,7.5277,4,family
Tiny Epic Galaxies: Beyond the Black,1,5,30,45,14,2.7667,7.72995,3,strategy
Trick or treat,2,4,10,20,10,0,0,,
Unlock!: Escape Adventures – Squeek & Sausage,1,6,45,75,10,2.0541,7.15703,2–3,thematic
Unlock!: Escape Adventures – The Island of Doctor Goorse,2,6,60,60,10,2.9615,6.65919,4,thematic
